# _root_ " Ko ste bili vi mladi , smo bili mi vsi še na drevesih , " je rekel gostilničar in namignil drugim gostom .
#goldHeads=9,9,4,2,4,4,2,9,18,9,10,14,9,13,9,9,18,20,18,0,20,23,21,0,
#predictedHeads=2,0,4,2,2,2,2,9,2,2,2,2,2,2,2,2,18,2,2,2,2,2,2,0,
(17,3),(17,23),0.0748796 # DEPENDENCYPART_SIBL
(17,3),(17,24),0.0645442 # DEPENDENCYPART_SIBL
(17,4),(17,5),0.0368735 # DEPENDENCYPART_SIBL
(17,4),(17,6),0.0354934 # DEPENDENCYPART_SIBL
(17,4),(17,7),0.0377015 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.0477814 # DEPENDENCYPART_SIBL
(17,4),(17,9),0.0477814 # DEPENDENCYPART_SIBL
(17,4),(17,10),0.0368735 # DEPENDENCYPART_SIBL
(17,4),(17,11),0.0368735 # DEPENDENCYPART_SIBL
(17,4),(17,12),0.0351879 # DEPENDENCYPART_SIBL
(17,4),(17,13),0.0494083 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.0413196 # DEPENDENCYPART_SIBL
(17,4),(17,15),0.0377015 # DEPENDENCYPART_SIBL
(17,4),(17,16),0.0364447 # DEPENDENCYPART_SIBL
(17,4),(17,18),0.0690615 # DEPENDENCYPART_SIBL
(17,4),(17,19),0.0750324 # DEPENDENCYPART_SIBL
(17,4),(17,20),0.0718276 # DEPENDENCYPART_SIBL
(17,4),(17,21),0.0690615 # DEPENDENCYPART_SIBL
(17,4),(17,22),0.0623752 # DEPENDENCYPART_SIBL
(17,4),(17,23),0.0750324 # DEPENDENCYPART_SIBL
(17,4),(17,24),0.0645442 # DEPENDENCYPART_SIBL
(17,5),(17,6),0.0313643 # DEPENDENCYPART_SIBL
(17,5),(17,7),0.0313643 # DEPENDENCYPART_SIBL
(17,5),(17,8),0.0430855 # DEPENDENCYPART_SIBL
(17,5),(17,9),0.0430855 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.0326884 # DEPENDENCYPART_SIBL
(17,5),(17,11),0.0326884 # DEPENDENCYPART_SIBL
(17,5),(17,12),0.0313643 # DEPENDENCYPART_SIBL
(17,5),(17,13),0.0381142 # DEPENDENCYPART_SIBL
(17,5),(17,14),0.0353551 # DEPENDENCYPART_SIBL
(17,5),(17,15),0.0313643 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.0313643 # DEPENDENCYPART_SIBL
(17,5),(17,18),0.0521689 # DEPENDENCYPART_SIBL
(17,5),(17,19),0.0564829 # DEPENDENCYPART_SIBL
(17,5),(17,20),0.0557916 # DEPENDENCYPART_SIBL
(17,5),(17,21),0.0521689 # DEPENDENCYPART_SIBL
(17,5),(17,22),0.0507587 # DEPENDENCYPART_SIBL
(17,5),(17,23),0.0564829 # DEPENDENCYPART_SIBL
(17,5),(17,24),0.0543736 # DEPENDENCYPART_SIBL
(17,6),(17,7),0.0301262 # DEPENDENCYPART_SIBL
(17,6),(17,8),0.0396553 # DEPENDENCYPART_SIBL
(17,6),(17,9),0.0396553 # DEPENDENCYPART_SIBL
(17,6),(17,10),0.0314503 # DEPENDENCYPART_SIBL
(17,6),(17,11),0.0314503 # DEPENDENCYPART_SIBL
(17,6),(17,12),0.0301262 # DEPENDENCYPART_SIBL
(17,6),(17,13),0.0368761 # DEPENDENCYPART_SIBL
(17,6),(17,14),0.0336291 # DEPENDENCYPART_SIBL
(17,6),(17,15),0.0301262 # DEPENDENCYPART_SIBL
(17,6),(17,16),0.0301262 # DEPENDENCYPART_SIBL
(17,6),(17,18),0.0503656 # DEPENDENCYPART_SIBL
(17,6),(17,19),0.0550584 # DEPENDENCYPART_SIBL
(17,6),(17,20),0.0533252 # DEPENDENCYPART_SIBL
(17,6),(17,21),0.0503656 # DEPENDENCYPART_SIBL
(17,6),(17,22),0.0489554 # DEPENDENCYPART_SIBL
(17,6),(17,23),0.0550584 # DEPENDENCYPART_SIBL
(17,6),(17,24),0.0511244 # DEPENDENCYPART_SIBL
(17,7),(17,8),0.0403783 # DEPENDENCYPART_SIBL
(17,7),(17,9),0.0403783 # DEPENDENCYPART_SIBL
(17,7),(17,10),0.0328962 # DEPENDENCYPART_SIBL
(17,7),(17,11),0.0328962 # DEPENDENCYPART_SIBL
(17,7),(17,12),0.0308492 # DEPENDENCYPART_SIBL
(17,7),(17,13),0.0392539 # DEPENDENCYPART_SIBL
(17,7),(17,14),0.035686 # DEPENDENCYPART_SIBL
(17,7),(17,15),0.0308492 # DEPENDENCYPART_SIBL
(17,7),(17,16),0.0308492 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.0579602 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.0568878 # DEPENDENCYPART_SIBL
(17,7),(17,20),0.0572219 # DEPENDENCYPART_SIBL
(17,7),(17,21),0.0579602 # DEPENDENCYPART_SIBL
(17,7),(17,22),0.0509141 # DEPENDENCYPART_SIBL
(17,7),(17,23),0.0568878 # DEPENDENCYPART_SIBL
(17,7),(17,24),0.0550025 # DEPENDENCYPART_SIBL
(17,8),(17,9),0.0477814 # DEPENDENCYPART_SIBL
(17,8),(17,10),0.0368735 # DEPENDENCYPART_SIBL
(17,8),(17,11),0.0368735 # DEPENDENCYPART_SIBL
(17,8),(17,12),0.0351879 # DEPENDENCYPART_SIBL
(17,8),(17,13),0.0492555 # DEPENDENCYPART_SIBL
(17,8),(17,14),0.0411669 # DEPENDENCYPART_SIBL
(17,8),(17,15),0.037396 # DEPENDENCYPART_SIBL
(17,8),(17,16),0.036292 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.0690615 # DEPENDENCYPART_SIBL
(17,8),(17,19),0.0748796 # DEPENDENCYPART_SIBL
(17,8),(17,20),0.0716749 # DEPENDENCYPART_SIBL
(17,8),(17,21),0.0690615 # DEPENDENCYPART_SIBL
(17,8),(17,22),0.0623752 # DEPENDENCYPART_SIBL
(17,8),(17,23),0.0748796 # DEPENDENCYPART_SIBL
(17,8),(17,24),0.0645442 # DEPENDENCYPART_SIBL
(17,9),(17,10),0.0368735 # DEPENDENCYPART_SIBL
(17,9),(17,11),0.0368735 # DEPENDENCYPART_SIBL
(17,9),(17,12),0.0351879 # DEPENDENCYPART_SIBL
(17,9),(17,13),0.0494083 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.0413196 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.0377015 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.0364447 # DEPENDENCYPART_SIBL
(17,9),(17,18),0.0690615 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.0750324 # DEPENDENCYPART_SIBL
(17,9),(17,20),0.0718276 # DEPENDENCYPART_SIBL
(17,9),(17,21),0.0690615 # DEPENDENCYPART_SIBL
(17,9),(17,22),0.0623752 # DEPENDENCYPART_SIBL
(17,9),(17,23),0.0750324 # DEPENDENCYPART_SIBL
(17,9),(17,24),0.0645442 # DEPENDENCYPART_SIBL
(17,10),(17,11),0.0326884 # DEPENDENCYPART_SIBL
(17,10),(17,12),0.0313643 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.0381142 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.0353551 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.0313643 # DEPENDENCYPART_SIBL
(17,10),(17,16),0.0313643 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.0521689 # DEPENDENCYPART_SIBL
(17,10),(17,19),0.0564829 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.0557916 # DEPENDENCYPART_SIBL
(17,10),(17,21),0.0521689 # DEPENDENCYPART_SIBL
(17,10),(17,22),0.0507587 # DEPENDENCYPART_SIBL
(17,10),(17,23),0.0564829 # DEPENDENCYPART_SIBL
(17,10),(17,24),0.0543736 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.0313643 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.0381142 # DEPENDENCYPART_SIBL
(17,11),(17,14),0.0353551 # DEPENDENCYPART_SIBL
(17,11),(17,15),0.0313643 # DEPENDENCYPART_SIBL
(17,11),(17,16),0.0313643 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.0521689 # DEPENDENCYPART_SIBL
(17,11),(17,19),0.0564829 # DEPENDENCYPART_SIBL
(17,11),(17,20),0.0557916 # DEPENDENCYPART_SIBL
(17,11),(17,21),0.0521689 # DEPENDENCYPART_SIBL
(17,11),(17,22),0.0507587 # DEPENDENCYPART_SIBL
(17,11),(17,23),0.0564829 # DEPENDENCYPART_SIBL
(17,11),(17,24),0.0543736 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.038051 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.0359789 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0313011 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.0313011 # DEPENDENCYPART_SIBL
(17,12),(17,18),0.0515406 # DEPENDENCYPART_SIBL
(17,12),(17,19),0.0554931 # DEPENDENCYPART_SIBL
(17,12),(17,20),0.0541946 # DEPENDENCYPART_SIBL
(17,12),(17,21),0.0515406 # DEPENDENCYPART_SIBL
(17,12),(17,22),0.0501304 # DEPENDENCYPART_SIBL
(17,12),(17,23),0.0554931 # DEPENDENCYPART_SIBL
(17,12),(17,24),0.0522993 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.0401779 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.0375507 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.036876 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.0537292 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.0640878 # DEPENDENCYPART_SIBL
(17,13),(17,20),0.0574833 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.0537292 # DEPENDENCYPART_SIBL
(17,13),(17,22),0.0523189 # DEPENDENCYPART_SIBL
(17,13),(17,23),0.0640878 # DEPENDENCYPART_SIBL
(17,13),(17,24),0.0544879 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0353575 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.0352048 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0572689 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0646514 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.0622121 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.0572689 # DEPENDENCYPART_SIBL
(17,14),(17,22),0.0558587 # DEPENDENCYPART_SIBL
(17,14),(17,23),0.0646514 # DEPENDENCYPART_SIBL
(17,14),(17,24),0.0594736 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0308492 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0579602 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0568878 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0572219 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.0579602 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0509141 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.0568878 # DEPENDENCYPART_SIBL
(17,15),(17,24),0.0550025 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0558653 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0573053 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0566172 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.0558653 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0516371 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.0573053 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.0569348 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.022734 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.0211393 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0200129 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.0198648 # DEPENDENCYPART_SIBL
(17,18),(17,23),0.022734 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.0314241 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0233864 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0197574 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.0191214 # DEPENDENCYPART_SIBL
(17,19),(17,23),0.0202151 # DEPENDENCYPART_SIBL
(17,19),(17,24),0.0216664 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.0173943 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.0167584 # DEPENDENCYPART_SIBL
(17,20),(17,23),0.0178521 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.0233881 # DEPENDENCYPART_SIBL
(17,21),(17,22),0.0198648 # DEPENDENCYPART_SIBL
(17,21),(17,23),0.022734 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.0314241 # DEPENDENCYPART_SIBL
(17,22),(17,23),0.0191258 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.0194421 # DEPENDENCYPART_SIBL
(17,23),(17,24),0.0216664 # DEPENDENCYPART_SIBL
(18,1),(18,2),0.0320279 # DEPENDENCYPART_SIBL
(18,1),(18,3),0.0411013 # DEPENDENCYPART_SIBL
(18,1),(18,4),0.0411013 # DEPENDENCYPART_SIBL
(18,1),(18,5),0.0343422 # DEPENDENCYPART_SIBL
(18,1),(18,6),0.0326506 # DEPENDENCYPART_SIBL
(18,1),(18,7),0.0315721 # DEPENDENCYPART_SIBL
(18,1),(18,8),0.0411013 # DEPENDENCYPART_SIBL
(18,1),(18,9),0.0411013 # DEPENDENCYPART_SIBL
(18,1),(18,10),0.0343422 # DEPENDENCYPART_SIBL
(18,1),(18,11),0.0343422 # DEPENDENCYPART_SIBL
(18,1),(18,12),0.0315721 # DEPENDENCYPART_SIBL
(18,1),(18,13),0.0391495 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.0368265 # DEPENDENCYPART_SIBL
(18,1),(18,15),0.0315721 # DEPENDENCYPART_SIBL
(18,1),(18,16),0.0315721 # DEPENDENCYPART_SIBL
(18,1),(18,17),0.0460468 # DEPENDENCYPART_SIBL
(18,1),(18,19),0.0573053 # DEPENDENCYPART_SIBL
(18,1),(18,20),0.0566172 # DEPENDENCYPART_SIBL
(18,1),(18,21),0.0558653 # DEPENDENCYPART_SIBL
(18,1),(18,22),0.0516371 # DEPENDENCYPART_SIBL
(18,1),(18,23),0.0573053 # DEPENDENCYPART_SIBL
(18,1),(18,24),0.0569348 # DEPENDENCYPART_SIBL
(18,2),(18,3),0.0427235 # DEPENDENCYPART_SIBL
(18,2),(18,4),0.0427235 # DEPENDENCYPART_SIBL
(18,2),(18,5),0.0332912 # DEPENDENCYPART_SIBL
(18,2),(18,6),0.0317303 # DEPENDENCYPART_SIBL
(18,2),(18,7),0.0318882 # DEPENDENCYPART_SIBL
(18,2),(18,8),0.0427235 # DEPENDENCYPART_SIBL
(18,2),(18,9),0.0427235 # DEPENDENCYPART_SIBL
(18,2),(18,10),0.0332912 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.0332912 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.0317303 # DEPENDENCYPART_SIBL
(18,2),(18,13),0.0393917 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.0361447 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.0318882 # DEPENDENCYPART_SIBL
(18,2),(18,16),0.0318092 # DEPENDENCYPART_SIBL
(18,2),(18,17),0.0479058 # DEPENDENCYPART_SIBL
(18,2),(18,19),0.0544366 # DEPENDENCYPART_SIBL
(18,2),(18,20),0.053375 # DEPENDENCYPART_SIBL
(18,2),(18,21),0.0509181 # DEPENDENCYPART_SIBL
(18,2),(18,22),0.0490738 # DEPENDENCYPART_SIBL
(18,2),(18,23),0.0544366 # DEPENDENCYPART_SIBL
(18,2),(18,24),0.0512428 # DEPENDENCYPART_SIBL
(18,3),(18,4),0.0477814 # DEPENDENCYPART_SIBL
(18,3),(18,5),0.0368735 # DEPENDENCYPART_SIBL
(18,3),(18,6),0.0353407 # DEPENDENCYPART_SIBL
(18,3),(18,7),0.037396 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.0477814 # DEPENDENCYPART_SIBL
(18,3),(18,9),0.0477814 # DEPENDENCYPART_SIBL
(18,3),(18,10),0.0368735 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.0368735 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.0351879 # DEPENDENCYPART_SIBL
(18,3),(18,13),0.0492555 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.0411669 # DEPENDENCYPART_SIBL
(18,3),(18,15),0.037396 # DEPENDENCYPART_SIBL
(18,3),(18,16),0.036292 # DEPENDENCYPART_SIBL
(18,3),(18,17),0.0535004 # DEPENDENCYPART_SIBL
(18,3),(18,19),0.0748796 # DEPENDENCYPART_SIBL
(18,3),(18,20),0.0716749 # DEPENDENCYPART_SIBL
(18,3),(18,21),0.0690615 # DEPENDENCYPART_SIBL
(18,3),(18,22),0.0623752 # DEPENDENCYPART_SIBL
(18,3),(18,23),0.0748796 # DEPENDENCYPART_SIBL
(18,3),(18,24),0.0645442 # DEPENDENCYPART_SIBL
(18,4),(18,5),0.0368735 # DEPENDENCYPART_SIBL
(18,4),(18,6),0.0354934 # DEPENDENCYPART_SIBL
(18,4),(18,7),0.0377015 # DEPENDENCYPART_SIBL
(18,4),(18,8),0.0477814 # DEPENDENCYPART_SIBL
(18,4),(18,9),0.0477814 # DEPENDENCYPART_SIBL
(18,4),(18,10),0.0368735 # DEPENDENCYPART_SIBL
(18,4),(18,11),0.0368735 # DEPENDENCYPART_SIBL
(18,4),(18,12),0.0351879 # DEPENDENCYPART_SIBL
(18,4),(18,13),0.0494083 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.0413196 # DEPENDENCYPART_SIBL
(18,4),(18,15),0.0377015 # DEPENDENCYPART_SIBL
(18,4),(18,16),0.0364447 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.0535004 # DEPENDENCYPART_SIBL
(18,4),(18,19),0.0750324 # DEPENDENCYPART_SIBL
(18,4),(18,20),0.0718276 # DEPENDENCYPART_SIBL
(18,4),(18,21),0.0690615 # DEPENDENCYPART_SIBL
(18,4),(18,22),0.0623752 # DEPENDENCYPART_SIBL
(18,4),(18,23),0.0750324 # DEPENDENCYPART_SIBL
(18,4),(18,24),0.0645442 # DEPENDENCYPART_SIBL
(18,5),(18,6),0.0313643 # DEPENDENCYPART_SIBL
(18,5),(18,7),0.0313643 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.0430855 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.0430855 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.0326884 # DEPENDENCYPART_SIBL
(18,5),(18,11),0.0326884 # DEPENDENCYPART_SIBL
(18,5),(18,12),0.0313643 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.0381142 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.0353551 # DEPENDENCYPART_SIBL
(18,5),(18,15),0.0313643 # DEPENDENCYPART_SIBL
(18,5),(18,16),0.0313643 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.050223 # DEPENDENCYPART_SIBL
(18,5),(18,19),0.0564829 # DEPENDENCYPART_SIBL
(18,5),(18,20),0.0557916 # DEPENDENCYPART_SIBL
(18,5),(18,21),0.0521689 # DEPENDENCYPART_SIBL
(18,5),(18,22),0.0507587 # DEPENDENCYPART_SIBL
(18,5),(18,23),0.0564829 # DEPENDENCYPART_SIBL
(18,5),(18,24),0.0543736 # DEPENDENCYPART_SIBL
(18,6),(18,7),0.0301262 # DEPENDENCYPART_SIBL
(18,6),(18,8),0.0396553 # DEPENDENCYPART_SIBL
(18,6),(18,9),0.0396553 # DEPENDENCYPART_SIBL
(18,6),(18,10),0.0314503 # DEPENDENCYPART_SIBL
(18,6),(18,11),0.0314503 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.0301262 # DEPENDENCYPART_SIBL
(18,6),(18,13),0.0368761 # DEPENDENCYPART_SIBL
(18,6),(18,14),0.0336291 # DEPENDENCYPART_SIBL
(18,6),(18,15),0.0301262 # DEPENDENCYPART_SIBL
(18,6),(18,16),0.0301262 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.0446009 # DEPENDENCYPART_SIBL
(18,6),(18,19),0.0550584 # DEPENDENCYPART_SIBL
(18,6),(18,20),0.0533252 # DEPENDENCYPART_SIBL
(18,6),(18,21),0.0503656 # DEPENDENCYPART_SIBL
(18,6),(18,22),0.0489554 # DEPENDENCYPART_SIBL
(18,6),(18,23),0.0550584 # DEPENDENCYPART_SIBL
(18,6),(18,24),0.0511244 # DEPENDENCYPART_SIBL
(18,7),(18,8),0.0403783 # DEPENDENCYPART_SIBL
(18,7),(18,9),0.0403783 # DEPENDENCYPART_SIBL
(18,7),(18,10),0.0328962 # DEPENDENCYPART_SIBL
(18,7),(18,11),0.0328962 # DEPENDENCYPART_SIBL
(18,7),(18,12),0.0308492 # DEPENDENCYPART_SIBL
(18,7),(18,13),0.0392539 # DEPENDENCYPART_SIBL
(18,7),(18,14),0.035686 # DEPENDENCYPART_SIBL
(18,7),(18,15),0.0308492 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.0308492 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.0453239 # DEPENDENCYPART_SIBL
(18,7),(18,19),0.0568878 # DEPENDENCYPART_SIBL
(18,7),(18,20),0.0572219 # DEPENDENCYPART_SIBL
(18,7),(18,21),0.0579602 # DEPENDENCYPART_SIBL
(18,7),(18,22),0.0509141 # DEPENDENCYPART_SIBL
(18,7),(18,23),0.0568878 # DEPENDENCYPART_SIBL
(18,7),(18,24),0.0550025 # DEPENDENCYPART_SIBL
(18,8),(18,9),0.0477814 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.0368735 # DEPENDENCYPART_SIBL
(18,8),(18,11),0.0368735 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.0351879 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.0492555 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.0411669 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.037396 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.036292 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.0535004 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.0748796 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.0716749 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0690615 # DEPENDENCYPART_SIBL
(18,8),(18,22),0.0623752 # DEPENDENCYPART_SIBL
(18,8),(18,23),0.0748796 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.0645442 # DEPENDENCYPART_SIBL
(18,9),(18,10),0.0368735 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.0368735 # DEPENDENCYPART_SIBL
(18,9),(18,12),0.0351879 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.0494083 # DEPENDENCYPART_SIBL
(18,9),(18,14),0.0413196 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.0377015 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.0364447 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.0535004 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.0750324 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.0718276 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.0690615 # DEPENDENCYPART_SIBL
(18,9),(18,22),0.0623752 # DEPENDENCYPART_SIBL
(18,9),(18,23),0.0750324 # DEPENDENCYPART_SIBL
(18,9),(18,24),0.0645442 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.0326884 # DEPENDENCYPART_SIBL
(18,10),(18,12),0.0313643 # DEPENDENCYPART_SIBL
(18,10),(18,13),0.0381142 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.0353551 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.0313643 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.0313643 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.050223 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.0564829 # DEPENDENCYPART_SIBL
(18,10),(18,20),0.0557916 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.0521689 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.0507587 # DEPENDENCYPART_SIBL
(18,10),(18,23),0.0564829 # DEPENDENCYPART_SIBL
(18,10),(18,24),0.0543736 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.0313643 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.0381142 # DEPENDENCYPART_SIBL
(18,11),(18,14),0.0353551 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.0313643 # DEPENDENCYPART_SIBL
(18,11),(18,16),0.0313643 # DEPENDENCYPART_SIBL
(18,11),(18,17),0.050223 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0564829 # DEPENDENCYPART_SIBL
(18,11),(18,20),0.0557916 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.0521689 # DEPENDENCYPART_SIBL
(18,11),(18,22),0.0507587 # DEPENDENCYPART_SIBL
(18,11),(18,23),0.0564829 # DEPENDENCYPART_SIBL
(18,11),(18,24),0.0543736 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.038051 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.0359789 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0313011 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.0313011 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.0469507 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0554931 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.0541946 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.0515406 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.0501304 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.0554931 # DEPENDENCYPART_SIBL
(18,12),(18,24),0.0522993 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.0401779 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.0375507 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.036876 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0623528 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.0640878 # DEPENDENCYPART_SIBL
(18,13),(18,20),0.0574833 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0537292 # DEPENDENCYPART_SIBL
(18,13),(18,22),0.0523189 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0640878 # DEPENDENCYPART_SIBL
(18,13),(18,24),0.0544879 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0353575 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0352048 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.0615576 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0646514 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0622121 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0572689 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0558587 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.0646514 # DEPENDENCYPART_SIBL
(18,14),(18,24),0.0594736 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.0308492 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0453239 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.0568878 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.0572219 # DEPENDENCYPART_SIBL
(18,15),(18,21),0.0579602 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.0509141 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.0568878 # DEPENDENCYPART_SIBL
(18,15),(18,24),0.0550025 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0460468 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.0573053 # DEPENDENCYPART_SIBL
