# _root_ " Ima se za gostilničarja , pa ne ve , kaj je polič . "
#goldHeads=7,7,2,2,4,7,0,9,7,12,12,9,12,7,7,
#predictedHeads=7,7,7,7,4,7,0,7,7,7,7,7,7,0,0,
(10,2),(10,11),0.0508143 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0572137 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0573307 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0508143 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0508143 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0310427 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0309811 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0307372 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.030363 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0301262 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0323655 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0487495 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0501347 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0516746 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0494725 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.049834 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0311611 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.032392 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0306685 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0304317 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0325692 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.049666 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0510512 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0538898 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.049666 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.049666 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0316537 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.030974 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0307372 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0342842 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0503406 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0517258 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0562866 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0510636 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0514251 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.032196 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0319592 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0319592 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0507885 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0580155 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0542127 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0519849 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0523464 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0301262 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0314718 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0489863 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0510424 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0511885 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0489863 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0489863 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0313011 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0487495 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0501347 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0509517 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0487495 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0487495 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0508143 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0572137 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0573307 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0508143 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0508143 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0169263 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0167204 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0167204 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0167204 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0187778 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0271515 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0228319 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0180544 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0176929 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0176029 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0301262 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0308492 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0309536 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0311547 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0301262 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0301262 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0301262 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0301262 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0301262 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0519793 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0492609 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0506381 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0513611 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0308492 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.032298 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0314406 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0323343 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0305603 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0301262 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0319969 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0323343 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0526153 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0527582 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0487495 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0487495 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0301262 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0303701 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0301262 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0301262 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0301262 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0323655 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0301262 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0487495 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0494725 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0494725 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.049834 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0302446 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0314755 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0301262 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0301262 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0322637 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0314755 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0487495 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0504656 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0487495 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0487495 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0304317 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0301262 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0301262 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0336731 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0304317 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0487495 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0515131 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0494725 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.049834 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0301262 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0301262 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0301262 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0301262 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0547973 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0495664 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0501519 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0505134 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0301262 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0314718 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.030284 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0491836 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0487495 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0487495 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.0487495 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0313011 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0301262 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0487495 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0487495 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0487495 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0487495 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0323343 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0526153 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0527582 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0487495 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0487495 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0547973 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0495664 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0501519 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0505134 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0187778 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0271515 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0228319 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0174434 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0170819 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0176029 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.0411013 # DEPENDENCYPART_SIBL
(12,1),(12,3),0.0349433 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.036686 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.0368265 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0315721 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0324837 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0315721 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.0411013 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0315721 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.0343422 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0573053 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.0569348 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.0594652 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.0378361 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.0436654 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.0411669 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.037396 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0365336 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0351879 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0477814 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.037396 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0368735 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0748796 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.0645442 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.0656287 # DEPENDENCYPART_SIBL
(12,3),(12,4),0.0363308 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.0360351 # DEPENDENCYPART_SIBL
(12,3),(12,6),0.0320443 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0329559 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0320443 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0453292 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.0320443 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.0333684 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.0573665 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.0548958 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.0567032 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.0373593 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.0349689 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0345311 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.0336195 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0474237 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0349689 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.0349436 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0592793 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0528061 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0538906 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.0353575 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0359636 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.035052 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0516751 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0353575 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.0380645 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0646514 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0594736 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.0612811 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.0317607 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.0308492 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0403783 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0308492 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0328962 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0568878 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0550025 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.05681 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0330976 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0450023 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0332555 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0346585 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0544366 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0512428 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0523273 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.044355 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.032476 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0338001 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.056668 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0534742 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0545587 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.037396 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0368735 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0748796 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0645442 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0656287 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0328962 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0568878 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0550025 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.05681 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0564829 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0543736 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0561811 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0216664 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0213049 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0199798 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.0317749 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0324979 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0318793 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0320804 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0310519 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0310519 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0310519 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0317749 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0310519 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0321364 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0324979 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.0506381 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.0513611 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.0330181 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.033021 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0321636 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.0330572 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0312833 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.0308492 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0338044 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.0330572 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0319336 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0354563 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0494725 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0494725 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0308492 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.0310931 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0308492 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.0308492 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0308492 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0345345 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0308492 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0312107 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0382198 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.0504394 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0508009 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0302446 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.0314755 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.0301262 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.0301262 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.0329867 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0314755 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0304877 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0349471 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0487495 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0487495 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.0304317 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0301262 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.0301262 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0343961 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0304317 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0313318 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0375876 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0494725 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.049834 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.0319776 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.0319776 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.0327006 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0319776 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0327006 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0334236 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0501519 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0505134 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.0301262 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0321948 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.030284 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0306061 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0330362 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0487495 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.0487495 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0324799 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0305819 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0309434 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0332028 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0487495 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0487495 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0330572 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0319336 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0354563 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0494725 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0494725 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0327006 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0334236 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0501519 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0505134 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0352101 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0500779 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0504394 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.049834 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.049834 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0176029 # DEPENDENCYPART_SIBL
(14,1),(14,2),0.0305844 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.0313074 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0320228 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.0320712 # DEPENDENCYPART_SIBL
(14,1),(14,6),0.0308899 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.0307028 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.0305844 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.0305844 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.0308899 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.0313074 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.0305844 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.0320712 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0518194 # DEPENDENCYPART_SIBL
(14,2),(14,3),0.0315786 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.0336385 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.0326282 # DEPENDENCYPART_SIBL
(14,2),(14,6),0.0336747 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.0315265 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0308556 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.0327263 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.0336747 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.0312171 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.0332938 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0326282 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0497819 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.0305844 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.0306756 # DEPENDENCYPART_SIBL
(14,3),(14,6),0.0304317 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.0302446 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.0301262 # DEPENDENCYPART_SIBL
(14,3),(14,9),0.0323655 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0304317 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.0301262 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.0346049 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.0306756 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.049834 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.0307028 # DEPENDENCYPART_SIBL
(14,4),(14,6),0.0319337 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.0303973 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.0302789 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.0324164 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.0319337 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.0302789 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.0336539 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.0307028 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0492077 # DEPENDENCYPART_SIBL
(14,5),(14,6),0.0310427 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0305501 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.0304317 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.0339787 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.0310427 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0312759 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.0364471 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0308899 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.0509669 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.0311611 # DEPENDENCYPART_SIBL
(14,6),(14,8),0.0310427 # DEPENDENCYPART_SIBL
(14,6),(14,9),0.0310427 # DEPENDENCYPART_SIBL
(14,6),(14,10),0.0313482 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.0314042 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.0310427 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.0326262 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.0514299 # DEPENDENCYPART_SIBL
(14,7),(14,8),0.0301262 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.0314718 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.0305896 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.0302446 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.0315902 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.0313432 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.0488679 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.0313011 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.0304317 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.0301262 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.0313011 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0316066 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0487495 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.0336747 # DEPENDENCYPART_SIBL
